,Unnamed: 0,company,job title,headquarters,salary estimate,job type,size,founded,type,industry,sector,revenue,job description
69,69,"Adobe
4.4",Applied Machine Learning Engineer,"San Francisco, CA",-1,Job Type : Full-time,10000+ employees,1982,company - public,computer hardware & software,information technology,$5 to $10 billion (usd),"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!"
70,70,"Intuit
4.5",Staff Data Scientist - Product Analytics,"Mountain View, CA",-1,Job Type : N/A,5001 to 10000 employees,1983,company - public,computer hardware & software,information technology,$2 to $5 billion (usd),"Overview
We are looking for a Sr. Data Scientist - Business Analytics to join the QuickBooks Insurance team! Your effort will maximize proficiency and productivity with our product and business data and become the domain expert in multiple internal and external data sources. As a Sr. Data Scientist - Business Analytics you will collaborate with different functions (Product, Engineering, Marketing and Strategy) of QB Insurance team.
What you'll bring
Bachelor’s degree in a quantitative field - Business, Statistics, Psychology or other social science; Master’s preferred, or equivalent experience.
5+ years of work experience in advanced analytics related to product logging, clickstream analytics and A/B testing."
71,71,"Amazon.com Services LLC
3.8",Applied Scientist - Machine Learning,"Palo Alto, CA",-1,Job Type : Full-time,10000+ employees,1994,company - public,internet,information technology,$10+ billion (usd),"PhD or equivalent Master's Degree plus 4+ years of experience in CS, CE, ML or related field
2+ years of experience of building machine learning models for business application
Experience programming in Java, C++, Python or related language
Amazon Advertising is one of Amazon's fastest growing and most profitable businesses. Amazon's advertising portfolio helps merchants, retail vendors, and brand owners succeed via native advertising, which grows incremental sales of their products sold through Amazon. The primary goals are to help shoppers discover new products they love, be the most efficient way for advertisers to meet their business objectives, and build a sustainable business that continuously innovates on behalf of customers. Our products and solutions are strategically important to enable our Retail and Marketplace businesses to drive long-term growth.

The Advertising Forecasting Science team comprises top scientists and engineers based in Palo Alto, California. The team builds forecasting models for advertising campaigns and financial planning, with revenue exceeding tens of billions of dollars. The forecasting science team makes auction prediction and handles bid optimization for billions of daily requests using innovative machine learning algorithms to optimize performance, which generates billions of annual revenue!



Invent new shopper and advertiser experiences, and accelerate the pace of machine learning and optimization.
Influence customer facing shopping experiences to helping suppliers grow their retail business and the auction dynamics that leverage native advertising, this role will be powering the engine of one the fastest growing businesses at Amazon.
Define a long-term science vision for our ad marketplace, driven fundamentally from the needs of our customers, translating that direction into specific plans for research and applied scientists, as well as engineering and product teams.
This is a role that combines science leadership, organizational ability, technical strength, product focus and business understanding.


Amazon is investing heavily in building a world class advertising business and we are responsible for defining and delivering a collection of self-service performance advertising products that drive discovery and sales.
Our products are strategically important to our Retail and Marketplace businesses driving long term growth. We deliver billions of ad impressions and millions of clicks daily and are breaking fresh ground to create world-class products.
We are highly motivated, collaborative and fun-loving with an entrepreneurial spirit and bias for action. With a broad mandate to experiment and innovate, we are growing at an unprecedented rate with a seemingly endless range of new opportunities.

Team video ~ https://youtu.be/zD_6Lzw8raE

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us"
72,72,"Apple
4.3","AI/ML - Data Scientist, Siri Data",United States,-1,Job Type : N/A,10000+ employees,1976,company - public,computer hardware & software,information technology,$10+ billion (usd),"Summary
Posted: Feb 18, 2021
Weekly Hours: 40
Role Number:200223697
Do you get excited by driving product impact via measurement and evaluation, for products and services used by hundreds of millions of people globally? The vision for the Siri Data organization is to improve Siri by using data as the voice of our customers. Within this organization the mission of the Search Analytics team is to inform product evolution through measurement, evaluation, and analysis of the user experience. You will partner with Search engineering teams to improve search quality and guide feature development with data, to deliver amazing search experiences across iPhone, iPad, HomePod, Mac, Watch, tv, across dozens of languages.
Key Qualifications"
73,73,"Lawrence Berkeley National Laboratory
4.3",ExaBiome Machine Learning Engineer,"San Francisco, CA",-1,Job Type : N/A,1001 to 5000 employees,1931,government,state & regional agencies,government,$500 million to $1 billion (usd),"Berkeley Lab’s Computational Research Division has an opening for an ExaBiome Machine Learning Engineer to work with the ExaBiome group to develop novel methods, algorithms, and pipelines for genomics, metagenomics, and proteomics. computations running on distributed-memory supercomputers.

What You Will Do:
Implement and prototype distributed-memory parallel methods for problems that arise in genomic analysis.
Implement graph and machine learning based metagenomic binning algorithms and pipelines.
Implement graph and machine learning based protein family detection methods.
Perform experiments to assess the accuracy of existing and newly developed methods for genomics and metagenomic problems."
74,74,"Epic Games
4.2",Data Scientist - AI/ML,"San Francisco, CA",-1,Job Type : Full-time,1001 to 5000 employees,1991,company - private,video games,media,unknown / non-applicable,"We are looking for a passionate AI/ML Data Scientist to join us on the Digital Human research team. You will develop, manage and enhance the data acquisition pipelines essential for our digital human projects. You will be responsible for monitoring the data quality and carrying out quantitative analysis and visualization. You will also work closely with 3rd party data providing vendors to acquire appropriate data.
Responsibilities:
Contribute to the architecture design for developing data annotation pipelines
Develop functionalities, tools and enhanced features in data annotation pipeline
Maintain the database and export datasets in an easily accessible format for machine learning purposes
Create strategies and manage projects for digital human data acquisition from 3rd party providers
Conduct quantitative data analysis using a variety of datasets, including developing retrieval, processing, fusion, analysis, and visualization of various datasets"
75,75,"Confluent
4.5",Data Scientist - Growth and Marketing,"Mountain View, CA",-1,Job Type : Full-time,501 to 1000 employees,2014,company - private,computer hardware & software,information technology,unknown / non-applicable,"Confluent is pioneering a fundamentally new category of data infrastructure focused on data in motion. Have you ever found a new favorite series on Netflix, picked up groceries curbside at Walmart, or paid for something using Square? That’s the power of data in motion in action—giving organizations instant access to the massive amounts of data that is constantly flowing throughout their business. At Confluent, we’re building the foundational platform for this new paradigm of data infrastructure. Our cloud-native offering is designed to be the intelligent connective tissue enabling real-time data, from multiple sources, to constantly stream across the organization. With Confluent, organizations can create a central nervous system to innovate and win in a digital-first world.

We’re looking for self-motivated team members who crave a challenge and feel energized to roll up their sleeves and help realize Confluent’s enormous potential. Chart your own path and take healthy risks as we solve big problems together. We value having diverse teams and want you to grow as we grow—whether you’re just starting out in your career or managing a large team, you’ll be amazed at the magnitude of your impact.

The mission of the Data Science team at Confluent is to serve as the central nervous system of all things data for the company: we build analytics infrastructures, metrics, insights, and models, to empower data-driven thinking, and optimize every part of the business. There are limitless opportunities for an ambitious data scientist to make an immediate and meaningful impact within a hyper-growth start-up."
76,76,"Alto Neuroscience, Inc.",Neuroscience Data Scientist,"Los Altos, CA",-1,Job Type : Full-time,1 to 50 employees,-1,unknown,-1,-1,unknown / non-applicable,"Company Introduction
Alto Neuroscience is developing a new generation of precision therapeutics for the treatment of mental illnesses, based on a platform built on large-scale biomarker data, clinical outcomes and multi-modal longitudinal datasets. The team combines world-leading neuroscientists, engineers and business executives with a singular focus on transforming the diagnosis and treatment of mental illnesses.
Currently, there is no objective way to diagnose psychiatric illness, nor to identify which treatment is best for an individual patient. Treatment selection is presently done by trial-and-error as there are no reliable blood tests nor objective brain measures, for example, that can inform these decisions. Alto is focused on addressing this need by developing new medications that are more effective by virtue of being personalized - whereby each person gets the right drug for their brain. Come join us on our mission to re-imagine and re-engineer the treatment of mental illnesses!"
77,77,"Alto Neuroscience, Inc.",Wearable Data Scientist,"Los Altos, CA",-1,Job Type : Full-time,1 to 50 employees,-1,unknown,-1,-1,unknown / non-applicable,"Company Introduction
Alto Neuroscience is developing a new generation of precision therapeutics for the treatment of mental illnesses, based on a platform built on large-scale biomarker data, clinical outcomes and multi-modal longitudinal datasets. The team combines world-leading neuroscientists, engineers and business executives with a singular focus on transforming the diagnosis and treatment of mental illnesses.
Currently, there is no objective way to diagnose psychiatric illness, nor to identify which treatment is best for an individual patient. Treatment selection is presently done by trial-and-error as there are no reliable blood tests nor objective brain measures, for example, that can inform these decisions. Alto is focused on addressing this need by developing new medications that are more effective by virtue of being personalized - whereby each person gets the right drug for their brain. Come join us on our mission to re-imagine and re-engineer the treatment of mental illnesses!"
78,78,"Salesforce
4.5",Machine Learning Engineer,"San Francisco, CA",-1,Job Type : Full-time,10000+ employees,1999,company - public,computer hardware & software,information technology,$10+ billion (usd),"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
The Einstein Platform group is looking for a Software Engineer to work on the machine learning pipelines that power Einstein Recommendation Builder (ERB), a general-purpose engine that can recommend anything to anyone, on-demand. Whether our customers are interested in recommending products to users, jobs to applicants, parts to work orders, with ERB our customers can forget about the engineering complexity, focus on their business needs, and customize their recommendations as they will. You can watch this short video to learn more about ERB:
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
79,79,"Twitter
4.2",Staff Data Scientist - Interests,"San Francisco, CA",-1,Job Type : Full-time,1001 to 5000 employees,2006,company - public,internet,information technology,$2 to $5 billion (usd),"Job Description

You will be a key member of the Interests Data Science team working closely with data scientists, engineers, and product managers to improve major new products like Topics and Lists Recommendation. You will design and analyze experiments, propose metrics to summarize and improve the performance of recommender systems, and help drive a deeper, quantitative understanding of interests and communities on Twitter.
Why it matters
Making it easier for users to find content related to their interests is core to Twitter’s strategy. The Interests data science team is on the leading edge of this work, and our analyses help motivate, design, and evaluate major product investments in this space.
What you’ll be doing"
80,80,Gayathri's Sandbox,Data Scientist,"Menlo Park, CA",-1,Job Type : N/A,-1,-1,-1,-1,-1,-1,Experiment engineers will be expected to help define and develop our core software for designing and deploying advanced experiments.
81,81,"Salesforce
4.5",Machine Learning/Data Science Engineer,"San Francisco, CA",-1,Job Type : Full-time,10000+ employees,1999,company - public,computer hardware & software,information technology,$10+ billion (usd),"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
Einstein Language Intelligence team is looking for a strong Lead/Principal Data Scientist to help us improve the way customer service is delivered. As part of the team, you will play a key role in incorporating artificial intelligence into the CRM product portfolio. You will participate in designing and developing machine/deep learning models and services that can be integrated with many applications, thousands of tenants, and run at scale in production.

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
82,82,"Specific Diagnostics
3.5","Data Scientist, Medical Diagnostics","Mountain View, CA",-1,Job Type : Full-time,1 to 50 employees,-1,company - private,-1,-1,unknown / non-applicable,"The Company
The world is facing a medical crisis, bacteria are increasingly evolving resistance to even our strongest antibiotics. The problem is already very real and immediate; for example, bloodstream infection leading to sepsis is now responsible for more than half of all deaths in hospitals and is the most expensive condition treated in hospitals. Sepsis mortality rate increases >6% every hour without effective antibiotic treatment. Yet, despite the life and death urgency, and healthcare cost impacts, current methodologies require 3 days to determine the correct antibiotic.
Specific Diagnostics has developed a breakthrough solution to rapidly determine the effective antibiotic treatment for bloodstream and other acute infections. Used for bloodstream infection Specific’s solution provides results 2 days sooner than existing methods, saving patients suffering from drug-resistant infection.
We have been funded by nearly $30 M in non-dilutive government sponsored research support and recently $17.5 M in venture capital. This is an opportunity to join us at an inflection point in our commercial growth as we bring our first key product to market and with recognition from major customers fueling an expansion of our staff."
83,83,Luminostics,Data Scientist,"Milpitas, CA",-1,Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Our mission is to increase healthcare accessibility and efficiency for all. As a Data Scientist at Luminostics, you will analyze longitudinal results from our fleet of diagnostic devices and develop algorithms and software to support the next generation of rapid diagnostic tests for diseases such as COVID19, Influenza, and common STIs. You will have opportunities to apply sophisticated analytical techniques and work with novel technologies. We work in a fast-paced, agile environment with colleagues from disciplines such as nanotechnology, manufacturing, software engineering, chemistry, and biology. We value accountability, creativity, and gratitude.
Responsibilities:
Collaborating with biochemistry researchers to accelerate research and operations
Collaborating with manufacturing engineers to reduce waste in assembly lines
Applying inferential statistics and simulation techniques to clinical data sets
Prototyping image and signal processing algorithms for rapid diagnostic tests
Planning and executing the collection and fusion of data from different sources Building analysis tools and data dashboards"
84,84,"Intel
4.2",Deep Learning Data Scientist,"Santa Clara, CA",-1,Job Type : Full-time,10000+ employees,1968,company - public,computer hardware & software,information technology,$10+ billion (usd),"Job Description

Habana Labs (www.habana.ai) is a vibrant and innovative company focused on developing purpose-built AI processors, disruptive solutions that will shape the future of AI and Deep Learning computing. Habana was founded in 2016 by successful entrepreneurs, launched its first AI Inference processor in 2018, its Training processor in 2019 and was acquired by Intel in December 2019. The company now operates as an autonomous subsidiary of Intel. We are looking for exceptionally smart people who believe that AI will change the world and would like to join us on our exciting journey.
We are seeking an experienced Deep Learning Data Scientist to join our team. In this role you will be a core member of the Habana R&D team enabling state-of-the-art AI workloads on Habana AI accelerators. You will collaborate with software development & application engineering teams, utilizing your strong mathematical foundation and in-depth knowledge of AI frameworks."
85,85,a.k.a. Brands,Data Scientist,"San Francisco, CA",-1,Job Type : Full-time,1 to 50 employees,-1,company - private,-1,-1,unknown / non-applicable,"We are a lean, nimble, and highly adaptive team that works seamlessly and transparently with our Brands in order for them to take the spotlight. We focus our efforts and talents to drive best practices, capture new opportunities, and accelerate performance across our portfolio of brands. Joining the a.k.a. Brands team means rolling up your sleeves, digging into challenges, creating and implementing new strategies, and not being limited to the confines of a job title or job description. We all play on the same team and value the insights and contributions that every member of our team makes daily.

Working directly with the CIO & SVP of Operations, our Data Scientist will leverage analytics, engineering, and machine learning to empower data-driven decision making that supports a.k.a. Brands in growth. The Data Scientist will work cross functionally to design solutions that will generate insights and recommendations across marketing, merchandising, operations, and customer experience of the retail experience. This is a high visibility role that will interact frequently with senior leadership. You will work with large volumes of data from many sources with the intent of discovering trends, analyzing patterns, as well as providing ad-hoc exploration to make ambiguous data actionable in addition to creating compelling dashboards and self-service reporting capabilities."
86,86,"Agilent Technologies, Inc.
4.3",Digital Data Scientist,"Santa Clara, CA",-1,Job Type : Full-time,10000+ employees,1999,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$2 to $5 billion (usd),"Agilent inspires and supports discoveries that advance the quality of life. We provide life science, diagnostic and applied market laboratories worldwide with instruments, services, consumables, applications and expertise. Information about Agilent is available at www.agilent.com.
The Digital Intelligence Organization empowers Agilent's digital transformation by embedding machine learning and predictive modeling to accelerate business growth. The organization encompasses web analytics, data engineering, and data science. We are seeking a data scientist who will apply machine learning and predictive modeling in enhancing customer digital experience and accelerating digital transformation.
Responsibilities:
Develop models by applying a deep knowledge and broad working experience of machine learning, web data, and cloud platforms (AWS, GCP)."
87,87,"Adobe
4.4","Data Scientist, Engagement & Retention Analytics","San Jose, CA",-1,Job Type : Full-time,10000+ employees,1982,company - public,computer hardware & software,information technology,$5 to $10 billion (usd),"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

Our company"
88,88,"Feedzai
4.1",Data Scientist,"San Mateo, CA",-1,Job Type : N/A,201 to 500 employees,2009,company - private,computer hardware & software,information technology,$50 to $100 million (usd),"Feedzai is the market leader in managing financial risk with AI. We're coding the future of commerce with today's most advanced risk management platform powered by big data and machine learning. Founded and developed by data scientists and aerospace engineers, Feedzai has one mission: to make banking and commerce safe. The world's largest banks, processors, and retailers use Feedzai's fraud prevention and anti-money laundering products to manage risk, while improving customer Experience.

The Customer Success team ensures our global customers achieve their business goals using our product. Everything you do matters: all your code, machine learning models, advisory, management, and other actions/roles will have a material impact on the way our clients run their business and how effectively we fight fraud and protect people from wrongdoing. You will be able to interact and meet many people from widely different cultures around the world and understand the business like few others. You will be able to say you protect people on a daily basis. You will be challenged with new technology, new processes, and new mindsets and will be asked to contribute to ensure continuous improvement.

Come and change the world with us.

Responsibilities

Understanding the data which our clients provide to us;

Cleaning that data and validating that it is correct;

Preprocessing the data, usually by using a mixture of shell scripts and a programming language such as Python, Java, Scala, etc

Iteratively computing features and tuning parameters to improve the quality of the model;

Communicating your findings to the project manager and assisting him/her in decision making on the Data Science part of the project;

Work together with key stakeholders (data scientists, engineers, risk managers) from our clients;

Work with other parts of the organization (Product, Research, etc.) to improve processes, best practices and tooling.

Requirements

MSc or PhD in Computer Science, Electrical Engineering, Statistics, Applied Mathematics, Physics or related field

Proficient in Machine Learning (training and testing, avoiding overfit, etc.)

Knowledge of Big Data technologies such as Spark, Hadoop and related

Proficiency in bash, Python and either Java or Scala

Knowledge of resource monitoring and runtime optimization (both at JVM and OS level)

Knowledge of statistics or data visualization is a plus

Knowledge of tree based algorithms (Random Forests, XGBoost, LGBM) is a plus

Knowledge of Deep Learning algorithms is a plus

Ability to communicate your findings in a clear way

Feedzai is an Equal Opportunity Employer.

Feedzai does not accept unsolicited resumes from recruiters or employment agencies.

#LI-IP1"
89,89,"The Climate Corporation
3.6",Data Scientist/Machine Learning Engineer,"San Francisco, CA",-1,Job Type : Full-time,501 to 1000 employees,2006,subsidiary or business segment,enterprise software & network solutions,information technology,unknown / non-applicable,"Position Overview
The Climate Corporation is looking for an innovative Machine Learning Engineer to develop and implement core AI solutions to impact the operations and foundations of The Climate Corporation’s Science. The problems of scaling Agronomic Science via ML and DL are complex and will offer even the most experienced candidate a new challenge that we will overcome together. You will adopt and iterate on the architectural vision and work with other Machine Learning Engineers, Data Scientists and Data Engineers across the company to accelerate the deployment of models at scale. Your work will be the foundation on which we create new products and business programs offered to growers and the enterprise. We will remind you that you can do all this while having fun and making yourself and those around you better.
What You Will Do:
Deliver and accelerate the deployment of scientific innovation into efficient and robust ML/DL solutions for our customers"
90,90,"TikTok
3.8",Machine Learning Engineer,"Mountain View, CA",-1,Job Type : Full-time,501 to 1000 employees,2016,company - private,internet,information technology,unknown / non-applicable,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo. Recommendation algorithm team plays a central role in the company, driving critical product decisions and platform growth.
The team is made up of machine learning researchers and engineers, who support and innovate on production recommendation models and drive product impact. The team is dynamic, fast-pacing, collaborative and impact-driven.
Responsibilities - What You'II Do
Build industry-leading recommendation system, improving user experience, content ecosystem and platform security"
91,91,"Nestle USA
4.1",Statistical Modeling & Forecasting Scientist,"Oakland, CA",-1,Job Type : N/A,1001 to 5000 employees,1866,subsidiary or business segment,food & beverage manufacturing,manufacturing,$10+ billion (usd),"Foods people love. The life you imagined. And the city that transforms.

History is in the making; Nestlé USA is opening its new North American Headquarters in Arlington, Virginia, directly across
from Washington, D.C. As a part of this extraordinary transformation, you have the opportunity to help build and define
the Nestlé USA of today, and tomorrow.

Our new home in Arlington offers close proximity to world class restaurants, shopping, and museums. It is also home to
renowned national landmarks such as the Pentagon.

Nestlé USA is transforming what we do, how we do it, and where we work. Now is the time to define your future, and ours,
too. Find your fulfilling personal and professional life, matched with our competitive benefits, focus on innovation and
limitless opportunities to learn and advance your career.

Discover the ways that Nestlé USA values and supports our employees and community. Giving back continues to be a
part of the Nestlé tradition. As the world’s leading nutrition, health and wellness company, our focus is not only about
nourishing our customers, it’s about enriching you.

POSITION SUMMARY:
The Statistical Modeling Scientist works within Supply Chain to develop more complex predictive analytics and statistical
forecasting models utilizing forecasting related systems to improve forecast accuracy and bias reduction. Demand
signal data will also be incorporated into forecasting models to drive cost savings and incremental revenue and profit
opportunities across the organization. Extend the use of statistical techniques to areas beyond supply chain demand
planning and demand signal analytics. As a statistical modeling scientist, you will participate in forecasting model and
business process design in collaboration statistical modeling principal and business management.

PRIMARY RESPONSIBILITIES:
pattern recognition, algorithm selection, outlier correction, and parameter optimization.
integration strategy between Demand Planning and data repositories for varying Nestlé businesses.
with business partners.
process solutions that ensure overall Nestle objectives are met.
Lead small scale demand signal data projects providing statistical modeling support and expertise. Project activities will
require strong collaboration with business users and other project team members.
industrialization/deployment to end users."
92,92,"23andMe
4.1","Scientist I/II, Statistical Genetics (and Machine Learning)","Sunnyvale, CA",-1,Job Type : N/A,501 to 1000 employees,2006,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"23andMe is looking for a Statistical Geneticist to join our growing Research Team. You will work closely with our Statistical Genetics, Data Collection, and Computational Biology teams to work on developing predictive models with genetic and non-genetic data to support both 23andMe's target discovery and consumer facing research efforts.

With the world's largest database of more than ten million genotyped customers, 23andMe is at the forefront of using human genetics to advance biomedical research and transform healthcare. Join our growing research team in translating genetic discoveries into insights into molecular biology of human traits and diseases.

Who we are

Since 2006, 23andMe's mission has been to help people access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of what's possible to help turn genetic insight into better health and personal understanding.

What you'll do

Use 23andMe's database of genotypes and phenotypes to develop predictive models for diseases.
Design and execute a wide array of statistical genetics analyses for both customers across the business and externally.
Work collaboratively with partners in research, product, and engineering to develop our research platform.

What you'll bring

Ph. D. in Statistics, Genetics, Bioinformatics, Computer Science or related field
Research experience in statistical human genetics
Experience developing predictive models with real datasets using machine learning frameworks such as Tensorflow or PyTorch
Hands-on experience working with very large data sets in Python or R
Ease in a Linux environment.
Excellent verbal and written communication skills.
Enthusiasm for working in a highly collaborative environment.

Strongly preferred

Experience working with multi-dimensional phenotypes
Hands-on experience with genomic datasets such as UK Biobank
Experience with the complete life-cycle of model-building - data cleaning, building and optimizing models, and evaluating and interpreting performance.

About Us

23andMe, Inc. is the leading consumer genetics and research company. Founded in 2006, the mission of the company is to help people access, understand, and benefit from the human genome. The company was named by Glassdoor as one of the Best Places to Work in 2019, MIT Technology Review to its ""50 Smartest Companies, 2017"" list, and named one of Fast Company's ""25 Brands That Matter Now, 2017"". 23andMe has millions of customers worldwide, with more than 80 percent of customers consented to participate in research. More information is available at www.23andMe.com .

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual's race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accomodations-ext@23andme.com. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you."
93,93,"23andMe
4.1","Survey Scientist I, Data Collection","Sunnyvale, CA",-1,Job Type : N/A,501 to 1000 employees,2006,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"We are looking for an enthusiastic data collection scientist with a track record of innovation and success. 23andMe has the world's largest research database of participants with both genetic and self-reported data. Data collection for scientific research is critical to our mission and we are looking to add to our strong team. Individuals with education or experience in survey methods, study design or alternative self-administered instruments (e.g. cognitive assessment) are strongly encouraged to apply. The successful candidate will have substantial influence on data collection strategies and methodologies.

With the world's largest database of more than ten million genotyped customers, 23andMe is at the forefront of using human genetics to advance biomedical research and transform healthcare. Join our growing research team in translating genetic discoveries into insights into molecular biology of human traits and diseases.

Who we are

Since 2006, 23andMe's mission has been to help people access, understand, and benefit from the human genome. We are a group of passionate individuals pushing the boundaries of what's possible to help turn genetic insight into better health and personal understanding.

What you'll do

We are looking for an experienced data collection scientist to work on our dynamic and growing data collection team. This person will have a vision of the future of data collection and will help lead, develop, implement, and test new measures of health conditions and behaviors. In addition, you will also be involved in working with stakeholders across the company on data collection, measurement and other related research efforts.

What you'll bring

Advanced degree in relevant scientific disciplines (e.g. public health, psychology, sociology, demography)
Experience in design, deployment and analysis of surveys, self-administered tests, or similar measures
Experience working with human subjects in health research (e.g. data privacy, data protection, IRB protocols, community health etc.)
Familiarity with or interest in research participant engagement and recruitment metrics/techniques, including email messaging and testing
Strong communication skills and an ability to work on teams, in a fluid and highly collaborative environment
Flexible and capable of managing multiple projects with overlapping deadlines in a landscape of evolving priorities

Strongly Preferred

Interest in web content development
Familiarity with or interest in learning Python, R or another programming language
Experience with medical health record data or digital data collection
Experience designing and evaluating A/B tests for study engagement and methods improvement

About Us

23andMe, Inc. is the leading consumer genetics and research company. Founded in 2006, the mission of the company is to help people access, understand, and benefit from the human genome. The company was named by Glassdoor as one of the Best Places to Work in 2019, MIT Technology Review to its ""50 Smartest Companies, 2017"" list, and named one of Fast Company's ""25 Brands That Matter Now, 2017"". 23andMe has millions of customers worldwide, with more than 80 percent of customers consented to participate in research. More information is available at www.23andMe.com .

At 23andMe, we value a diverse, inclusive workforce and we provide equal employment opportunity for all applicants and employees. All qualified applicants for employment will be considered without regard to an individual's race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. If you are unable to submit your application because of incompatible assistive technology or a disability, please contact us at accomodations-ext@23andme.com. 23andMe will reasonably accommodate qualified individuals with disabilities to the extent required by applicable law.

23andMe does not accept agency resumes and we are not responsible for any fees related to unsolicited resumes. Thank you."
