,company,job title,headquarters,salary estimate,job type,size,founded,type,industry,sector,revenue,job description
195,"Intuit - Data
4.5",Division of Intuit,Principal Data Scientist,"Mountain View, CA",Job Type : Full-time,5001 to 10000 employees,1983,company - public,computer hardware & software,information technology,$2 to $5 billion (usd),"Overview
Our formula for innovation begins with agile, cross-functional teams that welcome diverse perspectives and embrace collaboration. Inspirational working environments help spark fresh ideas, with state-of-the-art technology and creative workspaces that allow our team to decide how they want to work. And our shared commitment to make a meaningful impact for our customers helps us push the boundaries of technology to uncover new possibilities. If you have a commitment to excellence and a passion for innovation, come join our team.
What you'll bring"
196,"Palo Alto Networks
3.9",Data Scientist - Product Analytics (Xpanse),"San Francisco, CA",$95K - $180K (Glassdoor est.),Job Type : Full-time,5001 to 10000 employees,2005,company - public,enterprise software & network solutions,information technology,$2 to $5 billion (usd),"Company Description

Our Mission
At Palo Alto Networks® everything starts and ends with our mission:
Being the cybersecurity partner of choice, protecting our digital way of life.
We have the vision of a world where each day is safer and more secure than the one before. These aren’t easy goals to accomplish – but we’re not here for easy. We’re here for better. We are a company built on the foundation of challenging and disrupting the way things are done, and we’re looking for innovators who are as committed to shaping the future of cybersecurity as we are."
197,"Adobe
4.4","Data Scientist, Product Analytics - Adobe Spark & CC Education","San Francisco, CA",$99K - $186K (Glassdoor est.),Job Type : Full-time,10000+ employees,1982,company - public,computer hardware & software,information technology,$5 to $10 billion (usd),"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!



Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!"
198,"Intelygenz Inc
3.7",Data Scientist,"San Francisco, CA",$99K - $188K (Glassdoor est.),Job Type : Full-time,51 to 200 employees,2002,company - private,-1,-1,$1 to $5 million (usd),"The role
As a data scientist at Intelygenz, your day to day work will be organized in two principal lines: Industry and Laboratory.
At Industry level, our main delivery is process automation. In this level, our artificial intelligence solutions are focused on automating processes to add business value to our customers. This approach is applied in many different business sectors, since NLP-based projects and advanced computer vision to multi-domain anomaly detection. A crucial step in the industry process is the deployment of production-ready environments and maintenance
On the other hand, the goal of our Laboratory is to research and test state-of-the-art techniques and solutions to keep improving our skills and to share with the community our knowledge and proof of concepts. Deep reinforcement learning, NLP revolutionary solutions (as Transformers or BERT) or Brain-Computer-Interface experiments are some examples of our active research lines."
199,"Square
4.3","Data Scientist, Point of Sale & Customers - Invoices","San Francisco, CA",$102K - $189K (Glassdoor est.),Job Type : Full-time,5001 to 10000 employees,2009,company - public,computer hardware & software,information technology,$1 to $2 billion (usd),"Company DescriptionSquare builds common business tools in unconventional ways so more people can start, run, and grow their businesses. When Square started, it was difficult and expensive (or just plain impossible) for some businesses to take credit cards. Square made credit card payments possible for all by turning a mobile phone into a credit card reader. Since then Square has been building an entire business toolkit of both hardware and software products including Square Capital, Square Terminal, Square Payroll, and more. We’re working to find new and better ways to help businesses succeed on their own terms—and we’re looking for people like you to help shape tomorrow at Square.
Job Description

Square's mission is economic empowerment, and our team supports this by using data to understand and empathize with our customers, thereby allowing us to build a remarkable product experience. As a member of the Point of Sale & Customers team, you will use engineering, analytics, and machine learning to empower data-driven decision-making in the full lifecycle of product development and bringing our products to market. While reporting to the head of data, you will lead experimentation & growth plans, develop solutions to personalize product experiences, provide insights to our sellers about their business, and guide strategic decisions with data."
200,"Facebook
4.3",Data Scientist,"Fremont, CA",$101K - $187K (Glassdoor est.),Job Type : Full-time,10000+ employees,2004,company - public,internet,information technology,$10+ billion (usd),"In this role, your primary responsibility will be to partner with key stakeholders and lead the development of an analytics program to support and enable the continued growth critical to Facebook's Data Center organization. As we plan to grow our Data Center organization, we need to leverage data to drive decisions and introduce automation, predictability & optimization to allow us to operate efficiently and reliably at scale. You will be responsible for creating end to end analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Facebook's global data center operations. You will also help translate data and identify efficiency opportunities. You will be expected to use data to provide meaningful recommendations and actionable strategies to key stakeholders, and develop best practices, including streamlining of data sources and related programmatic initiatives. The ideal candidate will have a passion for working in white space and creating impact from the ground up in a fast-paced environment. Additionally, you will have a proven track record of thought leadership and impact in developing similar analytics and metrics-based programs.
Leverage data and business principles to create and drive large scale FB Data Center programs.
Define and develop the program for metrics creation, data collection, modeling, and reporting the operational performance of Facebook’s data centers."
201,"Teknatio
5.0",Data Scientist,"Menlo Park, CA",$80K - $152K (Glassdoor est.),Job Type : Full-time,1 to 50 employees,-1,contract,-1,-1,unknown / non-applicable,"Position: Data Scientist
Location: Menlo Park CA or Remote
Qualification: Bachelors’ degree in Computer Science or a related field
Experience: 3-5yrs
Job description:
Design and develop software solutions to problems related to managing networks
consisting of a large number of devices;
Design and develop software solutions to integrate with and orchestrate 3rd party"
202,"Facebook
4.3",Data Scientist - Instagram Stories,"San Francisco, CA",-1,Job Type : Full-time,10000+ employees,2004,company - public,internet,information technology,$10+ billion (usd),"Stories is at the heart of Instagram and continues to be a main reason people love our app. People use Stories to share their day, connect with their friends, and interact with content they love. Our job on the Stories team is to ensure an exceptional product experience that supports the ability to connect while maintaining a spirit of kindness. Data Science is crucial in ensuring we do this well and so we are looking for an experienced Data Scientist to support the whole Stories Ecosystem. We are looking for an individual contributor who can work across the different areas within Stories and jump into any problem and drive clarity and cohesion. This person will be tackling highly ambiguous problems and taking on projects that are cross-functional and strategic, by nature.
Develop a framework to understand impact to both producers and consumers of Instagram Stories
Set north star metric goals for Instagram Stories
Present results and recommendations to Instagram leadership
Ability to communicate the results of analyses with product and leadership teams to influence the strategy of the product"
203,"Colsh Consultants
4.6",Data Scientist,"Santa Clara, CA",$77K - $141K (Glassdoor est.),Job Type : Full-time,unknown,2005,unknown,it services,information technology,unknown / non-applicable,"Responsibilities

• Make recommendations regarding the collection, extraction, and transformation of large data sets
• Interpret data and analyze results
• Translate analytical insights into clear recommendations; identify trends and patterns to inform business decisions and product design
• Leverage Python to analyze complex data
• Design and develop customized interactive reports and dashboards in Tableau; schedule in Tableau Server
• Define and develop a data migration strategy between different products and platforms
• Develop creative ways to identify and use data that significantly impact key business metrics
• Assess the potential usefulness and validity of new data sources
• Utilize statistical approaches to build predictive models
• Mentor other team members/ analysts to grow their skills and careers"
204,"Tempus
3.3",Genomic Data Scientist (Hereditary Disease),"San Francisco, CA",$101K - $170K (Glassdoor est.),Job Type : Full-time,501 to 1000 employees,2015,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"Passionate about precision medicine and advancing the healthcare industry?

Recent advancements in genomics and computer technology have finally made it possible for AI to impact clinical care in a meaningful way. Tempus' proprietary platform connects an entire ecosystem of real-world evidence to deliver real-time, actionable insights to physicians, providing critical information about the right treatments for the right patients, at the right time.

We are seeking a genomics data scientist with experience in supporting innovative research by managing and modelling large volumes of clinical, genetic and/or genomic data. You will work on data ingestion, organization, and implementation of analysis workflows for large-scale human cohorts with genetic and multi-dimensional, multi-modality phenotypic data. These will be obtained from public sources, as well as private datasets generated in-house and obtained through our collaborations. This position is based on the San Francisco Bay Area.

Responsibilities

Bring in genomics/genetics datasets from external and internal sources to help develop internal resources for various analytical approaches
Develop scalable and high quality analysis pipelines for clinical trials and clinical diagnostics products.
Leverage the opportunities and efficiencies afforded by access to hybrid cloud-based, distributed ecosystem of database technologies
Collaborate with other data scientists and statistical geneticists to leverage multimodal data in training polygenic risk scores, machine learning, and other predictive models.
Work with scientists and clinicians to design and perform analyses on clinical sequencing data that generate clinically actionable insights in order to improve quality of care.
Produce high quality and detailed documentation for all projects.

Required Experience

PhD/Masters or equivalent experience in genetics, biomedical informatics, or related life sciences areas.
At least years of experience in complex data analysis and familiarity with applications of FAIR principles
Hands-on development of database systems and data manipulation using SQL, working within a POSIX CLI environment
Computational skills using Python (strongly preferred), Java, C/C++ or other programming languages.
Good understanding of life sciences domain and omics technologies.
Experience with longitudinal human clinical/phenotype data, e.g. from electronic health records, epidemiological cohorts, or clinical trials.
Experience with genetic and genomic data types, including public genetic databases and results data from high-throughput genetic assays ( e.g. UK Biobank, Gnomad, etc.) is a plus.

Ideal Candidates Will Possess

Experience with Python/Jupyter notebooks, NumPy/Pandas, and/or R/Bioconductor in analyzing large data sets.
Experience mining modern, large-scale genetic databases (e.g. ExAC/gnomAD, UK Biobank, UK10K, EBI GWAS Catalog, 1KG, etc.).
Experience with distributed database technologies and related big-data analysis tools ( e.g. Spark, BigQuery; the Apache Hadoop/Hive ecosystem).
Ability to communicate insights and presenting concepts
Self-driven and works well in interdisciplinary teams.
Track record of publications in related domains is a plus.

Candidates based on the SF Area with current authorization to work in the US are strongly preferred.
#LI-BL1"
205,"Lawrence Livermore National Laboratory
4.6",Data Scientist,"Livermore, CA",$98K - $174K (Glassdoor est.),Job Type : Full-time,5001 to 10000 employees,1952,government,federal agencies,government,$1 to $2 billion (usd),"Company Description
Join us and make YOUR mark on the World!
Are you interested in joining some of the brightest talent in the world to strengthen the United States’ security? Come join Lawrence Livermore National Laboratory (LLNL) where our employees apply their expertise to create solutions for BIG ideas that make our world a better place.
We are committed to a diverse and equitable workforce with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, experiences, and perspectives. This is essential to innovation and creativity for continued success of the Laboratory’s mission.
Job Description"
206,"Teladoc Health
4.0",Data Scientist - Personalization,"Mountain View, CA",$85K - $154K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,2002,company - public,health care services & hospitals,health care,$100 to $500 million (usd),"The Opportunity

Come work for a data-driven innovator that's transforming the healthcare industry. In your role as a Data Scientist for Personalization, you'll work closely with marketing teams driving enrollment and retention to create scalable analytics that directly drive Livongo's business forward.

This role will leverage your technical skills and business acumen as you deliver insights that inform Livongo's most important business decisions. You'll collaborate closely with leaders to support growth, helping us increase our reach and impact a greater number of people living with chronic and behavioral conditions. Your efforts will improve the value of Livongo services to our Members, increased engagement and member retention.

This high-profile, high-impact opportunity on the Data Science team has huge advancement potential, as well as the opportunity to leverage data in ways that truly make a difference in people's lives.

Position Summary

The Data Scientist at Teladoc Health is responsible for delivering data-driven insights and developing AI/ML products in telehealth to make healthcare more accessible and affordable. You will have the opportunity to leverage the rich data at Teladoc Health and your data science skills to solve very diverse set of business problems, ranging from customer acquisition and engagement, to demand forecasting, scheduling and clinical outcome analysis. You will collaborate closely with engineers, product managers, fellow data scientists and business stakeholders on deliverables impacting millions of members and the growth of our business. As the Data Science team continues to evolve, you will also play a critical role in the maturation of machine learning infrastructure, data science best practices, as well as analytic roadmaps.

The ideal candidate will have solid hands-on experience in AI/ML, outstanding business acumen, intense curiosity, and superior written and verbal communication skills. He/she will have a strong bias toward data-driven decision making. He/she will be a self-starter, comfortable with ambiguity, able to think big while paying attention to detail, and enjoy working in a fast-paced dynamic environment.

If you are excited about being part of the growing data science organization and using data science to drive changes in healthcare – this is the role for you!

Responsibilities

Contribute to the design, development, and delivery of automated, scalable analytical solutions to stakeholders.

Process data from disparate sources and perform sophisticated analysis to enable decision making by leveraging exploratory data analysis, statistical modeling, machine learning techniques

Partner with engineers and business stakeholders to design, develop and deploy AI/ML products to drive business outcomes

Interpret and communicate results with different business areas, such as Marketing, Clinical Operations, Finance, Product, Engineering, and Management

Performing statistical and other ad-hoc analysis, and presenting results in a clear manner

Contribute to the development of maturation of data science ecosystems and best practices

Candidate Profile

Solid background in machine learning and statistical modeling techniques, such as classification, clustering, dimensionality reduction, forecasting, recommender system, and optimization

Proficient in working with structured and unstructured data from multiple sources by using data science programming languages, such as Python, R, and SQL

Demonstrate ability to deliver actionable insights or machine learning solutions by analyzing large volume of data sets, preferably with applications in marketing and personalization

Experience with cloud-based machine learning platforms, such as AWS, GCP, and Azure

Results-driven, client-focused, strong project management and communications skills

Prior experience in healthcare strongly preferred

Working knowledge in Deep Learning or Natural Language Processing (NLP) is a plus

A MS or PhD degree in Data Science, Statistics, Computer Science, Applied Mathematics, Operations Research, or related fields, plus 3 years in DS role

Why Join Livongo?

The transformative industry forces in Community, Content and Commerce are now household names. As Amazon is to Commerce, Livongo is to Healthcare. With our Applied Health Signals engine, AI+AI, we've transformed how care is delivered.

Livongo's proprietary, consumer-first technology is revolutionizing the experience of living with a chronic health condition. Our data-driven digital health engine enables our Members to seamlessly manage multiple health conditions on one empowering platform. We use smart, connected devices, personalized digital guidance, and 24x7x365 access to health professionals to make it easier for people to stay healthier.

Do you want to accomplish something meaningful? To create results that matter? Livongo's innovative solution produces industry-leading member satisfaction, measurable clinical outcomes and proven healthcare costs savings. Here you can truly improve lives.

We are at a milestone period in our history. On July 25, 2019 we took our company public, in order to elevate and expand the way the industry views us, thus ushering us into a whole new set of mission-critical conversations that will help us accomplish the work still to be done. As we reach new levels of achievement, we accelerate our ability to deliver life-changing services.

Livongo has been voted one of the Best Places to Work in healthcare, by Fortune Magazine and Best Place to Work ! Talented, passionate individuals make the difference, in this fast-moving, collaborative and inspiring environment.

At Livongo we believe that personal and professional diversity is the key to innovation. We hire based solely on your strengths and qualifications, and the way in which those strengths can directly contribute to your success in your new position.

We've already made healthcare history, yet we remain on the threshold of very big things. Leading the industry with our Applied Health Signals category, we have cracked the code to transforming healthcare. Come grow with us and support our mission to make a tangible difference in the lives of our Members.

follow us on Glassdoor .

#LivongoIPO #appliedhealthsignals

As an Equal Opportunity Employer, we never have and never will discriminate against any job candidate or employee due to age, race, religion, color, ethnicity, national origin, gender, gender identity/expression, sexual orientation, membership in an employee organization, medical condition, family history, genetic information, veteran status, marital status, parental status or pregnancy (including breastfeeding – we have a mother's room in both our offices). In our innovative and inclusive workplace, we prohibit discrimination and harassment of any kind."
207,"Kaiser Permanente
4.0",Data Scientist SAS,"Oakland, CA",$98K - $172K (Glassdoor est.),Job Type : Full-time,10000+ employees,1945,nonprofit organization,health care services & hospitals,health care,$10+ billion (usd),"***THIS REPRESENTS THREE (3) OPEN POSITIONS****

The Senior Data Consultant is responsible for assisting the organization in making strategic data-related decisions by analyzing, manipulating, tracking, internally managing and reporting data. This position takes an active leadership role as both as a consultant and as a high-level SAS programmer.

Essential Functions

Leads, makes significant contributions, and/or provides technical leadership to high visibility projects to identify and resolve issues of strategic importance to the organization. Interfaces regularly with senior management to produce timely and valuable results.

Directs the development of outcomes and process measures, including technical specifications, to enable population measurement, guideline implementation, and evaluation.

















PrimaryLocation :
HoursPerWeek : 40
Shift :
Workdays : Mon-Fri
WorkingHoursStart :
WorkingHoursEnd :
Job Schedule :
Job Type : Standard
Employee Status : Regular
Employee Group/Union Affiliation : NUE-PO-01|NUE|Non Union Employee
Job Level : Individual Contributor
Job Category : Sales and Marketing,Sales & Marketing
Department :
Travel : Yes, 5 % of the Time"
208,REGID International,Data Scientist H/F,"San Francisco, CA",$79K - $166K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Description de l'entreprise
REGID International is a Geospatial Impact Development organization that provides technical expertise to support landscape restoration and climate mitigation activities of development iNGOs, governments and private sector.
REGID International has worked in the past couple of years with the Gates Foundation Intellectual Ventures Lab of Seattle to build a digital climate technology – a CNN model for global tree cover assessment on very high-resolution imagery; we have synergized with our biomass carbon algorithm to provide one of the most competitive mix of spatial and temporal resolutions for global biomass carbon accounting in Afforestation/Reforestation (A/R) programs.
Description du poste"
209,"Wish
3.3",Data Scientist (Ads),"San Francisco, CA",$126K - $199K (Glassdoor est.),Job Type : Full-time,501 to 1000 employees,2010,company - public,other retail stores,retail,$1 to $2 billion (usd),"Company Description

Wish is a mobile e-commerce platform that flips traditional shopping on its head. We connect hundreds of millions of people with the widest selection of delightful, surprising, and—most importantly—affordable products delivered directly to their doors. Each day on Wish, millions of customers in more than 160 countries around the world discover new products. For our over 1 million merchant partners, anyone with a good idea and a mobile phone can instantly tap into a global market.
We're fueled by creating unique products and experiences that give people access to a new type of commerce, where all are welcome. If you’ve been searching for a supportive environment to chase your curiosity and use data to investigate the questions that matter most to you, this is the place.

Job Description"
210,"eBay Inc.
4.0",Machine Learning Engineer,"San Francisco, CA",$100K - $196K (Glassdoor est.),Job Type : Full-time,10000+ employees,1995,company - public,internet,information technology,$10+ billion (usd),"TBD
This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies
View our privacy policy
View our accessibility info
StubHub is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at recruiting@stubhub.com. We will make every effort to respond to your request for disability assistance as soon as possible."
211,"Vectra
2.8",Data Scientist,"San Jose, CA",$90K - $180K (Glassdoor est.),Job Type : Full-time,51 to 200 employees,-1,company - private,accounting,accounting & legal,$50 to $100 million (usd),"Vectra Networks delivers a new class of advanced threat defense that delivers real-time detection and analysis of active network intrusions. Vectra technology picks up where perimeter security leaves off by providing deep, continuous analysis of both internal and Internet-facing network traffic to automatically detect all phases of a breach as attackers attempt to spy, spread, and steal within your network.

Vectra directly analyzes network traffic in real time using a patent-pending combination of data science, machine learning, and behavioral analysis to detect attacker behaviors and user anomalies in the network. All detections are correlated and prioritized to show an attack in context, and Vectra Networks' machine learning adapts as attacks evolve.
Position Overview
Be on the leading edge of applying machine learning and data modeling to the world of advanced cyber security – as part of the data science engineering team, you will directly impact the product by developing core algorithms to model complex problems. Specific responsibilities include:"
212,KJ Consulting LLC,Business Intelligence Data Scientist,"San Francisco, CA",$78K - $161K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Business Intelligence Data Scientist
The position is 100% remote and salary is $120-160K.
The company is an automotive logistics provider that utilizes technology to provide unparalleled service and visibility into the transportation process accompanied by a full suite of vehicle lifecycle solutions.
*
Employees: 800-900
Revenues: 130-180 mm
Location: Remote"
213,"Capital One - US
4.1","Data Scientist, Data Privacy ML","San Francisco, CA",$110K - $175K (Glassdoor est.),Job Type : Full-time,10000+ employees,1994,company - public,banks & credit unions,finance,$10+ billion (usd),"201 Third Street (61049), United States of America, San Francisco, California
Data Scientist, Data Privacy ML
Data is at the center of everything we do. As a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the world of data-driven decision-making.
As a Data Scientist at Capital One, you’ll be part of a team that’s leading the next wave of disruption at a whole new scale, using the latest in computing and machine learning technologies and operating across billions of customer records to unlock the big opportunities that help everyday people save money, time and agony in their financial lives.
Team Description"
214,"Feedzai
4.0",Data Scientist,"San Mateo, CA",$91K - $173K (Glassdoor est.),Job Type : Full-time,201 to 500 employees,2009,company - private,computer hardware & software,information technology,$50 to $100 million (usd),"Feedzai is the market leader in managing financial risk with AI. We're coding the future of commerce with today's most advanced risk management platform powered by big data and machine learning. Founded and developed by data scientists and aerospace engineers, Feedzai has one mission: to make banking and commerce safe. The world's largest banks, processors, and retailers use Feedzai's fraud prevention and anti-money laundering products to manage risk, while improving customer Experience.

The Customer Success team ensures our global customers achieve their business goals using our product. Everything you do matters: all your code, machine learning models, advisory, management, and other actions/roles will have a material impact on the way our clients run their business and how effectively we fight fraud and protect people from wrongdoing. You will be able to interact and meet many people from widely different cultures around the world and understand the business like few others. You will be able to say you protect people on a daily basis. You will be challenged with new technology, new processes, and new mindsets and will be asked to contribute to ensure continuous improvement.

Come and change the world with us.

Responsibilities

Understanding the data which our clients provide to us;

Cleaning that data and validating that it is correct;

Preprocessing the data, usually by using a mixture of shell scripts and a programming language such as Python, Java, Scala, etc

Iteratively computing features and tuning parameters to improve the quality of the model;

Communicating your findings to the project manager and assisting him/her in decision making on the Data Science part of the project;

Work together with key stakeholders (data scientists, engineers, risk managers) from our clients;

Work with other parts of the organization (Product, Research, etc.) to improve processes, best practices and tooling.

Requirements

MSc or PhD in Computer Science, Electrical Engineering, Statistics, Applied Mathematics, Physics or related field

Proficient in Machine Learning (training and testing, avoiding overfit, etc.)

Knowledge of Big Data technologies such as Spark, Hadoop and related

Proficiency in bash, Python and either Java or Scala

Knowledge of resource monitoring and runtime optimization (both at JVM and OS level)

Knowledge of statistics or data visualization is a plus

Knowledge of tree based algorithms (Random Forests, XGBoost, LGBM) is a plus

Knowledge of Deep Learning algorithms is a plus

Ability to communicate your findings in a clear way

Feedzai is an Equal Opportunity Employer.

Feedzai does not accept unsolicited resumes from recruiters or employment agencies.

#LI-IP1"
215,"Facebook
4.3","Data Scientist, Machine Learning","Fremont, CA",$102K - $237K (Glassdoor est.),Job Type : Full-time,10000+ employees,2004,company - public,internet,information technology,$10+ billion (usd),"In this role, your primary responsibility will be to partner with key stakeholders and lead strategic and quantitative analysis to support and enable the continued growth critical to Facebook’s Data Center organization. As we plan to grow our Data Center organization, we need to leverage data to drive decisions and introduce automation, predictability & optimization to allow us to operate efficiently and reliably at scale. Our data scientist team identifies business problems and solves them by using various numerical techniques, algorithms, and models in Statistical Modeling, Machine Learning, Operations Research, and Data Mining. You will have the opportunity to work on a broad spectrum of areas such as hardware or Equipment Failure Prediction, Operational Tools Automation, Demand Forecasting, Alert Optimization, Supply Chain Optimization, Inventory & Capacity Planning, Process Design & Optimization, and Financial Modeling. This is a full-time role.
Architect and build pragmatic, scalable, and statistically rigorous solutions for data center infrastructure problems by leveraging or developing state-of-the-art statistical and machine learning methodologies on top of Facebook's unparalleled data infrastructure."
216,"CitiusTech
3.8","Data Scientist, Healthcare (US)","San Francisco, CA",$77K - $152K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,2005,company - private,it services,information technology,$100 to $500 million (usd),"CitiusTech is a leader in HealthCare innovation. We work with over 120 medical technology, provider, payer and life sciences companies across the US. We are rated among top 100 Best Companies to Work For 8 years in a row and consistently achieved the highest NPS in the Industry.
Data Science team at CitiusTech is helping many of our clients transform customer experience, improve health outcomes and achieve business excellence through the power of AI/ML. We are growing rapidly by 2x year on year. As a team, we are focused on Deep Work in AI / ML as well as building a culture of openness and respect for each other.
Job Responsibilities:
Developing advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective manner"
217,"Facebook
4.3","Data Scientist, Finance","Menlo Park, CA",$130K - $190K (Glassdoor est.),Job Type : Full-time,10000+ employees,2004,company - public,internet,information technology,$10+ billion (usd),"Facebook is seeking a highly quantitative, driven, and creative data scientist for the Finance Data Science team. The Finance DS team is a uniquely data intensive part of Facebook’s Finance organization and plays a crucial role in delivering key financial insights to management through forecasting, analysis and modeling. This position will primarily focus on analyzing and modeling the financial ecosystem and developing actionable insights for the business to influence decision makers to enable strong financial decision making. The role is highly cross-functional and partner facing, involving coordination across a number of groups within Facebook. This role will challenge the candidate to both understand and contribute to many facets of a rapidly growing business, including revenue forecasting, analytics, and strategic decision support. Ideal candidates love breaking down problems, building solutions, delivering actionable and data-driven insights, and working in a fast-paced, dynamic environment.
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how we generate ads revenue
Assess market opportunities, analyze current business performance and build statistical models to extrapolate current and historical trends into forward-looking forecasts"
218,"PayPal
4.1",Decision Scientist,"San Jose, CA",$104K - $166K (Glassdoor est.),Job Type : Full-time,10000+ employees,1998,company - public,internet,information technology,$10+ billion (usd),"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: Decision scientists are highly motivated team players with self-learning ability who specialize in creating, driving and executing initiatives to mitigate fraud patterns while improving the customer’s experience for the PayPal’s hundreds of millions of customers. The day to day job involves identifying fraud patterns based on analysis of huge data sets, creating mitigations to prevent fraud on PayPal’s customers and adapting advanced proprietary fraud prevention mechanisms to enable PayPal’s growth. The decision scientists work with a wide verity of partners in the company such as product experts, developers, data scientists and engineers to bring their analytical insights to life. The ideal candidates are problem solvers, equipped with strong analytical skills suited to approach varied challenges in complex big data environments. Decision scientists will be required to drive solutions from start to finish, have a strong sense of accountability coupled with passion for a great customer experience."
219,"Tesla
3.8","Autopilot, Deep Learning Engineer/Scientist","Palo Alto, CA",$103K - $182K (Glassdoor est.),Job Type : Full-time,10000+ employees,2003,company - public,transportation equipment manufacturing,manufacturing,$2 to $5 billion (usd),"The Role
As a member of the Autopilot AI team you will research, design, implement, optimize and deploy deep learning models that advance the state of the art in perception and control for autonomous driving. A typical day to day includes reading deep learning code/papers, implementing described models and algorithms, adapting them to our setting, driving up internal metrics, working with downstream engineers to integrate neural networks to run efficiently in the car on our chip, and incrementally tracking and improving feature performance based on fleet telemetry. A strong candidate will ideally possess at least one strong expertise in the following areas, and at least a familiarity in others.

Responsibilities
Train machine learning and deep learning models on a computing cluster to perform visual recognition tasks, such as segmentation and detection"
220,"Microsoft
4.4",Data & Applied Scientist,"Sunnyvale, CA",$98K - $174K (Glassdoor est.),Job Type : Full-time,10000+ employees,1975,company - public,computer hardware & software,information technology,$10+ billion (usd),"Our team focuses on understanding, predicting, and incentivizing how the advertisers and users interact with our marketplace through algorithm development, optimization, and experimental analysis of advertiser strategies and auction mechanisms.Engineers and scientistson ourteam workat the edge of machine learning and economics developing in the online stack as well as offline workflows. At its core, our teamutilizes signals of user and advertiser intent to determine which ads are allocated and at what price.
Responsibilities

Responsibilities include:"
221,"Bolt
4.6",Machine Learning Engineer,"San Francisco, CA",$83K - $164K (Glassdoor est.),Job Type : Full-time,51 to 200 employees,2014,company - private,computer hardware & software,information technology,unknown / non-applicable,"We are witnessing a massive shift of consumer presence from offline to online. With it, there is a need for technologies that enable online businesses to thrive. Bolt is at the center of this universe leading the next generation of ecommerce, having created a best-in-class buying experience from checkout to fraud detection, payments and more. With our help, retailers can successfully compete with the online retail giants that have the means to invest in technology.

The Data Platform team works closely with all teams and cross-functional partners (including product, engineering, and data analysts) to build a foundational data stack powering business analytics.

We are looking for someone to play a mission-critical role in designing and building the machine models (fraud detection, categorization, recommendation, personalization, price analysis, etc) that powers Bolt. This should someone with experience, creativity, and passion for producing world-class technology. Companies and consumers alike will rely heavily on what you build, and you’ll have a ton of trust and responsibility. If challenges excite you, and you’re ready for a large one, let us know."
