,company,job title,headquarters,salary estimate,job type,size,founded,type,industry,sector,revenue,job description
135,"BEPC Inc
3.7",Research Scientist,"San Francisco, CA",$90K - $159K (Glassdoor est.),Job Type : Full-time,51 to 200 employees,-1,company - private,consulting,business services,$10 to $25 million (usd),"BEPC has an open position for a Research Scientist in South San Francisco, CA!
Contract W2 Period: 1 year contract with possibilities for extensions
Pay & Benefits: $34.48/hr. + Medical, Dental, Vision and Life Insurance
Work in the Complex in-vitro Systems (CiS) group within the department of Safety Assessment located in th South San Francisco campus. The CiS group’s goal is to develop, characterize, and qualify complex in vitro models to support the larger Development Sciences organization. This laboratory-based role involves maintaining primary cells/cell lines, implementing new MPS technologies, and characterizing these new models to support the CiS group and Safety Assessment department goals.
Responsibilities:
Candidate will contribute to CiS group efforts to develop, characterize, and disseminate cutting-edge in vitro organ modeling technologies by:
BEOCS"
136,"6sense
4.9",Data Scientist,"San Francisco, CA",$96K - $182K (Glassdoor est.),Job Type : Full-time,201 to 500 employees,2013,company - private,computer hardware & software,information technology,unknown / non-applicable,"Role: Data Scientist

San Francisco or Sunnyvale
Role Description

6sense is a Predictive Intelligence Engine that is reimagining how B2B companies do sales and marketing. We work with big data at scale, advanced machine learning, and predictive modeling to find buyers by predicting what they will purchase, when, and how much.

The data science team is at the core of 6sense engineering. Our executive team's drive and the quality of our work has lead to unprecedented partnerships with companies like Salesforce, Cisco, Dell, and Lenovo. Salesforce was so happy with our results that they invested in us!

Our data scientists are not optimizing software - they are building models, manipulating big data, and working with APIs that are essential to the 6sense product. Our models inform smart email campaigns, website personalization, ad optimization, inside sales call lists, and go-to-market messaging. We influence how businesses spend millions of marketing and sales budgets.

Our company is growing quickly which requires us to expand our data science family with outstanding minds and bright personalities. The bar is high, but our hiring process is simple :

Do well on a short take-home test

Work with us, via zoom, to solve a real problem and communicate the results

Hang out and have fun with our team


We are looking for someone with minimum of 2 years of work experience
An advanced degree is preferred"
137,"Skan
4.8",Data Scientist,"San Jose, CA",$79K - $161K (Glassdoor est.),Job Type : Full-time,1 to 50 employees,2013,company - private,staffing & outsourcing,business services,unknown / non-applicable,"Recruiting Firm, Riderflex has been hired by our client, Skan, to find their next Data Scientist.
Company: Skan
Industry: Computer Software
Title: Data Scientist
Location: San Jose, CA
Type: Full-time/W-2
Are you a Data Scientist passionate about shaping the future of work and enabling enterprise transformation? Do you have a hands-on mathematical or engineering background? Skan may be the right place for you!
Responsibilities:
Participate and lead, multifaceted analytic studies on large volumes of data."
138,"Denali System Co., Ltd
3.0","Data Scientist -- Full-time, entry level","Mountain View, CA",$72K - $146K (Glassdoor est.),Job Type : Full-time,1 to 50 employees,-1,company - private,-1,-1,unknown / non-applicable,"Data Scientist -- Full-time, entry level
About Us
Denali System, a fast-growing start-up located in Silicon Valley, is committed to becoming the leading AIoT solution provider. We are dedicated to helping users break the barriers between technology, business, and data. Our goal is to help clients to discover the commercial value in the data.
Denali has built a series of industry solutions based on our platform in finance, transportation, security, public service, etc., and has reached in-depth cooperation with many enterprises, including one of the fortune 500 insurance companies. We are looking for a passionate Data Scientist to join our team and build an influential startup company with us!
Job Description"
139,"Salesforce
4.4","Data Scientist, Data Intelligence","San Francisco, CA",$105K - $191K (Glassdoor est.),Job Type : Full-time,10000+ employees,1999,company - public,computer hardware & software,information technology,$10+ billion (usd),"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
Department Overview: Data Science Apps (DSA)
The Data Science Apps (DSA) team, which sits within the broader Data Intelligence organisation, is a family of multi-talented technologists with backgrounds ranging from Artificial Intelligence to Finance. What connects us all is a shared curiosity for how to drive product strategy with data, a passion for getting the job done, and a healthy disregard for constraints.
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
140,"Intuit - Data
4.5",Division of Intuit,Senior Data Scientist,"Mountain View, CA",Job Type : Full-time,5001 to 10000 employees,1983,company - public,computer hardware & software,information technology,$2 to $5 billion (usd),"Overview
Intuit is looking for innovative and hands-on Senior Data scientist to join the Intuit AI team. This team embeds artificial intelligence and machine learning into our product portfolio and business to create smarter products, improve anti-fraud and security, and enhance customer care. We aim to save our customers time (""Never enter data""), increase their prosperity by making actionable financial recommendations, and enable them to have complete confidence in our products
What you'll bring
BS, MS, or PhD in an appropriate technology field (Computer Science, Statistics, Applied Math, Operations Research, etc.)"
141,"Plaid
4.0",Data Scientist - Analytics,"San Francisco, CA",$79K - $160K (Glassdoor est.),Job Type : Full-time,1 to 50 employees,-1,company - private,-1,-1,less than $1 million (usd),"We believe the way people interact with their finances will drastically improve in the next few years. We’re dedicated to empowering this transformation by building the tools and infrastructure developers need to create their own products. Today, thousands of companies such as Acorns, Stripe, and Venmo rely on Plaid to connect with the financial system; supporting millions of requests per day and thousands of bank integrations. Our goal is to give people more control over their finances and unlock financial freedom for everyone.

Making data driven decisions is key to Plaid's culture. To support that, we need a data science team that can apply their analytical skills to understand our users and influence decision making. This includes building and maintaining core data sets and metrics, helping teams like Developer Experience and Consumer Experience design experiments and running in-depth follow up analyses, and supporting, educating, and providing guidance to teams on their product decisions.

We're guided by our principles, including impact, growing together, embracing openness and positivity, and inventing tomorrow; we're looking for people motivated by those same principles."
142,"Finrise
5.0",Data Scientist,"Burlingame, CA",-1,Job Type : Full-time,1 to 50 employees,2015,company - private,internet,information technology,unknown / non-applicable,"Who you are
The first Data Scientist at Finrise will play an imperative role in enabling patient financing for out-of-pocket healthcare expenses. You recognize that 56% of Americans with a less than ideal FICO Score need new ways to evaluate creditworthiness in efficient and holistic ways. You’re excited about tackling technical problems that most wouldn’t dare touch. Working with unstructured and nontraditional data doesn’t scare you. Data science, predictive models, and statistics are second nature. You excel in building machine learning systems, conducting foolproof analyses, and leading cross functional projects. While banks are busy evaluating 30-year-old FICO scores, created before a time of the internet and smartphones, you’re building models which will decide who to lend to in real-time. Instead of hiring hundreds of people to manually review, you’re adding new data points to ensure accurate scoring. You’re hands-on, creative, and hyper-analytical. You understand that the ultimate measurement of success is enabling patients to afford care in a time of need, with a fair rate, in terms they understand. At the end of the day, you want to change the way credit is evaluated."
143,"Google
4.5","Data Scientist, Operations Data Science","Mountain View, CA",-1,Job Type : Full-time,10000+ employees,1998,company - public,internet,information technology,$10+ billion (usd),"Minimum qualifications:
Master's degree in Operations Research, Industrial Engineering, Statistics, related field, or equivalent practical experience.
2 years of relevant work experience (e.g., as a data scientist) or equivalent. Analytical engagements outside class work while at school can be included.
Experience with statistical software (e.g., R, Python) and database languages (e.g., SQL)

Preferred qualifications:
PhD in Operations Research, Industrial Engineering, Statistics or related field.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
144,"Salesforce
4.4","Data Scientist, Ethical AI Practice","San Francisco, CA",$108K - $193K (Glassdoor est.),Job Type : Full-time,10000+ employees,1999,company - public,computer hardware & software,information technology,$10+ billion (usd),"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
Team Overview
Salesforce's Office of Ethical and Humane Use is looking for an experienced data scientist and/or practitioner in the area of fairness, accountability, transparency, and explainability (FATE). Working with the Ethical AI, Einstein, and Salesforce AI Research teams, they will conduct research that informs the creation of bias and fairness AI tooling.

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records."
145,"Wealthfront
4.5",Data Scientist - Analytics,"Palo Alto, CA",$121K - $195K (Glassdoor est.),Job Type : Full-time,51 to 200 employees,2011,company - private,investment banking & asset management,finance,unknown / non-applicable,"Wealthfront is the leader in the vision to deliver financial optimization and automation to everyone. Data and its proper use is crucial to that vision and the data science team plays a fundamental role in understanding and interpreting those data sources.

The Wealthfront data science team creates data products to deliver optimized and personalized financial advice, develops best in class investment algorithms, and analyzes our rich financial and behavioral data to make key business decisions. The team draws from a variety of backgrounds in Computer Science & Engineering, Statistics, Economics, Math, Operations Research, and Financial Engineering. We derive strength from this diversity and are constantly learning and teaching each other in a down-to-earth and dynamic environment. We are neither too big where you would be just another cog in the system, nor are we too small that none of our efforts can be realized.

We are seeking an analytics data scientist to join the Wealthfront data science team. The primary responsibility of this role is to provide statistical and machine learning expertise to either the growth or marketing areas of the company. Your focus will span topics related to a/b experimentation, dashboarding/visualizations, and model building with an emphasis on interpretability and actionable insights. The ideal candidate will interface with the areas and address their business needs while maintaining the rigors of a sound technical analysis."
146,"Avila Trading
3.9",Data scientist,"San Francisco, CA",$81K - $162K (Glassdoor est.),Job Type : Full-time,1 to 50 employees,-1,company - private,-1,-1,unknown / non-applicable,"August 31, 2018
Data scientist
Job Requirements:
Conceptual understanding in Machine Learning models like Nai¨ve Bayes, K-Means, SVM, Apriori, Linear/ Logistic Regression, Neural, Random Forests, Decision Trees, K-NN along with hands-on experience in at least 2 of them
Intermediate to expert level coding skills in Python/R. (Ability to write functions, clean and efficient data manipulation are mandatory for this role)
Exposure to packages like NumPy, SciPy, Pandas, Matplotlib etc in Python or GGPlot2, dplyr, tidyR in R
Ability to communicate Model findings to both Technical and Non-Technical stake holders"
147,"Joby Aviation
4.2",Data Scientist,"San Carlos, CA",$90K - $168K (Glassdoor est.),Job Type : Full-time,51 to 200 employees,-1,company - private,-1,-1,unknown / non-applicable,"Joby Overview: Located in Northern California, the Joby Aviation team has been steadily working toward our goal of providing safe, affordable, fully electric air transportation that is accessible to everyone. Imagine an air taxi that takes off vertically, then quietly and quickly carries you over the congestion below, giving you back that time you’d otherwise spend sitting in traffic. Technology has advanced to the point where designing and operating an all-electric aircraft is completely viable. Our team has been discreetly designing and flight testing this vehicle and is looking for talented individuals to see it through certification and high rate production. Overview:
Working as a Data Scientist you will be responsible for developing analytical tools and reporting results from numerous tests and flight operations centered around hardware. You should be able to work cohesively inside of an engineering team, understand both data systems and physical systems, and have an eye for anomalies in physical test data. You will also need to work closely with your colleagues across a broad set of highly technical disciplines who depend on data. The ideal candidate is energetic, has a positive attitude, is flexible and excited about learning and using new technologies.
Responsibilities:
Required:
Desired:"
148,"CipherTrace
4.2",Data Scientist,"San Francisco, CA",$91K - $178K (Glassdoor est.),Job Type : Full-time,1 to 50 employees,-1,company - private,-1,-1,unknown / non-applicable,"South San Francisco Bay, California
CipherTrace is a rapidly growing leader in the cryptocurrency analytics, intelligence and compliance market. With over 250 clients in 37 countries, CipherTrace operates on a global scale to assist banks, cryptocurrency exchanges, law enforcement agencies, regulators, ICOS and businesses in preventing fraud, human trafficking, money laundering, and other illicit activity where cryptocurrency is involved so that cryptocurrency can be safe for users and trusted by governments.
Requirements:
BS in Computer Science or Math or equivalent experience
At least 2+ years of experience in cryptocurrency
4-7 years formulating data science research & executing projects, engineering ETL processes, building machine learning models, and evaluating fitness & confidence of results using Python, PySpark, Scala"
149,"Intuit - Data
4.5",Division of Intuit,Principal Data Scientist,"Mountain View, CA",Job Type : Full-time,5001 to 10000 employees,1983,company - public,computer hardware & software,information technology,$2 to $5 billion (usd),"Overview
Our formula for innovation begins with agile, cross-functional teams that welcome diverse perspectives and embrace collaboration. Inspirational working environments help spark fresh ideas, with state-of-the-art technology and creative workspaces that allow our team to decide how they want to work. And our shared commitment to make a meaningful impact for our customers helps us push the boundaries of technology to uncover new possibilities. If you have a commitment to excellence and a passion for innovation, come join our team.
What you'll bring"
150,"Contus
4.2",Data Analyst,"San Francisco, CA",$63K - $125K (Glassdoor est.),Job Type : Full-time,201 to 500 employees,2008,company - private,enterprise software & network solutions,information technology,$10 to $25 million (usd),"We are looking for a Data Analytics professionals to join our Analytics Team.This is a unique opportunity for a creative and charismatic individual to lead a key advanced data analytics team for a fast growing Products organization for Gartner. Our mission is to drive increasing business impact by building world class data analytics practices.
Required Skills:
Bachelor’s degree in Computer Science, Engineering or Information Technology.
Minimum of 5 year’s experience in Business Intelligence or Information Management
Advanced SQL skills
Strong communication skills across all mediums and audience types (technical, business, executive, etc.)
Have a keen eye for visual aesthetics"
151,"Uber
4.0","Sr. Machine Learning Engineer, Uber AI Recommendations","San Francisco, CA",$149K - $179K (Glassdoor est.),Job Type : Full-time,10000+ employees,2009,company - public,internet,information technology,$10+ billion (usd),"Uber AI’s mission is to optimize and innovate Uber’s products and business using machine learning and AI. The group consists of Uber's machine learning platform team which enables machine learning at scale, AI building blocks which enable product teams to build unique experiences and engagements with product teams on their business problems.
The group consists of machine learning engineers, mobile engineers, backend engineers and research scientists and engineers.
Uber AI Building Blocks establishes core, reusable ML systems that can be applied across problems. Through close collaboration we deliver innovative Machine Learning/AI solutions for core business problems.

We focus on productionizing ML to improve end user experiences and drive the business. As a core offering, we are developing a platform around recommendation and personalization across Uber products. We strive to understand our riders, drivers, restaurants and build more personal experience across all users. As an engineer, you would be responsible for building these systems that are high performant and can operate at high scale (imagine every Uber trip) while leveraging state-or-art research in Recommendations. You will deliver these solutions from inception to production."
152,"Step Mobile
4.2",Data Scientist,"Palo Alto, CA",$72K - $147K (Glassdoor est.),Job Type : Full-time,1 to 50 employees,2018,company - private,-1,-1,unknown / non-applicable,"Palo Alto, CA
Step is a next-generation financial services company building a better banking experience to help teens and young adults achieve financial independence and knowledge at an earlier age.
We’re on a mission to improve the financial future of the next generation and empower teens to start their financial journey. Step is a well-funded Series C company that has raised more than $175M, focused on disrupting banking through a differentiated mobile-first consumer experience.
We eclipsed 1.5 million customers just four months after launch. If you’re looking to join a fast-growing company with a strong mission and vision that puts people first, we want to meet you.
The Role"
153,"EOS
3.7",Business Intelligence Analyst,"Fremont, CA",$64K - $132K (Glassdoor est.),Job Type : Full-time,501 to 1000 employees,2008,company - private,it services,information technology,unknown / non-applicable,"WHO WE ARE:
EOS IT Solutions is a family run Global Technology and Logistics company, providing Collaboration and Business IT Support services to some of the world's largest industry leaders, delivering forward-thinking solutions based on multi-domain architecture. Customer satisfaction and commitment to superior quality of service are our top business priorities, along with investing in and supporting our partners and employees.

We are a true International IT provider and are proud to deliver our services through global simplicity with trusted transparency.

POSITION OVERVIEW:
The Business Intelligence Analyst will have responsibility to develop and visualize the service story for the senior leadership team on campus. They will develop an understanding of current business trends whilst engaging with key stakeholders.


Maintain and support Tableau to meet customer needs

Partner with development team to deliver embedded Tableau visualizations

Provide effective data visualization and reporting to stakeholders

Build and publish customized interactive Tableau reports and dashboards along with data refresh scheduling using Tableau Desktop and Tableau Server

Continuously improve data integrity and reporting effectiveness

Support any requests for internal business reviews


4 – 5 years' experience in data management, Tableau and SQL

BS degree in data science, MIS or equivalent business related experience

Expertise with Tableau repository, TABCMD, and TABADMIN commands

Experience with data visualization best practices required

Database tools such as MS SQL Server

Demonstrated knowledge of application configuration, maintenance and support

Strong Work Ethic

Creative solutions mentality (out of the box thinking)

Strong systems modeling and communication skills

Strong analytical ability

Ability to operate comfortably and effectively in a fast paced, highly cross functional, rapidly changing environment

EOS is committed to creating a diverse and inclusive work environment and is proud to be an equal opportunity employer. We invite you to consider opportunities at EOS regardless of your gender; gender identity; gender reassignment; age; religious or similar philosophical belief; race; national origin; political opinion; sexual orientation; disability; marital or civil partnership status or other non-merit factor.

#indeedhp"
154,"CytomX Therapeutics, Inc.
3.4",Data Scientist/Senior Data Scientist,"South San Francisco, CA",$99K - $167K (Glassdoor est.),Job Type : Full-time,51 to 200 employees,-1,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"About CytomX Therapeutics:
CytomX Therapeutics, Inc. is committed to changing the treatment of cancer with our novel Probody® therapeutic platform. Our commitment to transforming lives with safer, more effective therapies is driven by our curiosity and passion for innovation and our belief that by acting with integrity in an honest, respectful, ethical manner, we have the power to change lives. Our workplace embodies collaboration, open communication, celebrating our successes, and holding each other to the highest possible standards. CytomX has a broad pipeline, including 4 clinical-stage programs and others in development and is located in South San Francisco, California, the birthplace of biotechnology. Learn more at www.cytomX.com.
Location: South San Francisco, California
Reporting Relationship: Reports to the Vice President, Head of Development Sciences
The Opportunity:
We are currently seeking a Data Scientist/Senior Data Scientist to join our efforts in advancing novel therapies from target discovery to clinical development. The ideal candidate, working collaboratively with the translational and development teams, will apply their deep technical knowledge in computational modeling of biological networks to help drive drug development decisions. The Data
Scientist/Senior Data Scientist will lead efforts to integrate aging mechanisms and diverse experimental datasets into a computational model that can be used to design experiments and simulate therapeutic strategies. The candidate will also be responsible for the analysis and interpretation of data in support of translational activities. This includes analysis of NGS and proteomic datasets, mining publicly available data sources, and supporting the identification of predictive and pharmacodynamic biomarkers. Projects include, but are not limited to, use of real-world data for modeling and prediction of disease severity and progression, discovery of disease subtypes, risk stratification, and precision medicine using methodologies from machine learning, deep learning and/or time series analysis.
As a member of the CytomX’s Data Science team, you will work closely with a cross-functional group of computational biologists, data scientists, translational project leads, scientists, and biostatisticians to advance CytomX’s pipeline. This role requires the ability to communicate computational results and outcomes to scientists in both quantitative and non-quantitative disciplines, as well as to external collaborators. This role offers a unique opportunity to innovate at the leading edge of data science and clinical development. In this role, you will work with colleagues in the Development Sciences organization and partner with key businesses across CytomX to apply advanced data science and analytics to answer key research questions. You will get the opportunity to work on cutting-edge problems at the intersection of machine learning and healthcare. You will be a member of a dynamic team comprising data scientists and subject matter experts to create and iterate on data science solutions.
The position can either be on-site at CytomX or in a remote working location. We are open to more senior positions based on the experience."
155,"MOLOCO
4.1","Data Scientist - Redwood City, CA or Seattle, WA","Redwood City, CA",$72K - $154K (Glassdoor est.),Job Type : Full-time,51 to 200 employees,2013,company - private,advertising & marketing,business services,$100 to $500 million (usd),"About MOLOCO

MOLOCO is a machine learning company that empowers mobile businesses to unleash the power of their data for fast, sustainable growth through the programmatic advertising ecosystem. Founded in 2013, the company offers a complete suite of programmatic advertising solutions to help mobile companies optimize the performance of their acquisition, retention and monetization campaigns. MOLOCO offers a top-rated real-time bidding platform that provides scale across more than 4 billion devices. Through highly sophisticated products like MOLOCO Cloud and MOLOCO Engine, consumers are able to easily utilize the benefits of their own data while leveraging the power of MOLOCO's proprietary machine learning technology. MOLOCO is headquartered in Silicon Valley, with offices in San Francisco, Seattle, London, Beijing, Seoul, Singapore and Tokyo. For more information, visit www.molocoads.com
About the role

MOLOCO is a marketing technology company that is growing rapidly. We are helping companies market their mobile apps through our programmatic solution that utilizes data mining, lookalike targeting and machine learning optimization. We're in a hypergrowth stage both in technology and business and looking for an Operational Data Scientist to provide operational support and data analytics.

What you'll do

writing queries, scripts, and producing figures which provide insights into campaign performance by campaign, or by metric across campaigns.
verifying the data we obtain from ad exchange and the third party mobile app tracking solutions so that our campaign models get trained with accurate data.
engaging in the life cycle of campaigns from building the initial lookalike model, monitoring daily performance, and advancing machine learning models.
Working cross-functionally to support campaign management by communicating results, requesting additional resources, and improving our product to help meet our client's needs.

What you'll need to succeed

Master's degree in data related field required, and 2 years of relevant industry experience post graduation.
must have strong experience in experimental design, A/B testing, linear/logistic regression, hypothesis testing
must be comfortable with basics of model creation, evaluation, and deployment.
experience in Python and SQL required.
experience with GCP Big Query and Looker a plus.
Ability to manage multiple projects at the same time while paying attention to detail.
Proven track record of ability to take ownership of tasks and projects and come up with creative solutions, rather than simply completing delegated tasks.
Excellent verbal and written communication skills, with ability to present information and analysis results smoothly and fluently.
Ability to relate well to others and build functional and positive relationships within our team and with cross functional stakeholders.
Prior experience adapting to a steep learning curve and a high volume of new domain specific information, especially if no experience in ad tech.
Experience with automation is a plus as we streamline our campaign management.

All offers of employment are subject to background checks prior to start date. MOLOCO will consider for employment: qualified applicants with criminal histories in manner consistent with applicable local, state, and federal laws and Fair Chance Ordinances.

MOLOCO is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics."
156,"TikTok
3.8",Machine Learning Engineer,"Mountain View, CA",$101K - $185K (Glassdoor est.),Job Type : Full-time,501 to 1000 employees,2016,company - private,internet,information technology,unknown / non-applicable,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo. Recommendation algorithm team plays a central role in the company, driving critical product decisions and platform growth.
The team is made up of machine learning researchers and engineers, who support and innovate on production recommendation models and drive product impact. The team is dynamic, fast-pacing, collaborative and impact-driven.
Responsibilities - What You'II Do
Build industry-leading recommendation system, improving user experience, content ecosystem and platform security"
157,"Amazon Web Services, Inc.
3.8",Data Scientist - Nationwide Opportunities,"Palo Alto, CA",$95K - $180K (Glassdoor est.),Job Type : Full-time,10000+ employees,1994,company - public,internet,information technology,$10+ billion (usd),"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience
Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory
4+ years of industry experience in predictive modeling, data science, and analysis
Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models
Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility
Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models
Experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations
Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Excited by using massive amounts of disparate data to develop ML models? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades?

At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions.

AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.

This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

For employees based in Colorado, this position starts at $114,700 per year. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered."
158,"Beshton Software
3.7",Data Analyst,"San Francisco, CA",$59K - $109K (Glassdoor est.),Job Type : Full-time,1 to 50 employees,-1,company - private,-1,-1,less than $1 million (usd),"Job Description:
Analyze and interpret financial risk data for Beshton, its customers, and its partner companies using expertise in economics and statistics;
Develop software and mathematical tools to evaluate loan applications and risk management, design statistical methods and algorithms for use in tools;
Identify trends in financial data and risk factors for businesses, process large amounts of collected data and make use of increased data points to increase forecasting accuracy;
Design Artificial Intelligence and machine learning models, apply modeling to Beshton’s data analysis tools and services;
Evaluate the algorithms and methods in risk management software to validate results and verify the accuracy of calculations;"
159,Gayathri's Sandbox,Data Scientist,"Menlo Park, CA",-1,Job Type : Full-time,-1,-1,-1,-1,-1,-1,Experiment engineers will be expected to help define and develop our core software for designing and deploying advanced experiments.
160,"Tesla
3.8","Autopilot, Deep Learning Engineer/Scientist","Palo Alto, CA",$103K - $182K (Glassdoor est.),Job Type : Full-time,10000+ employees,2003,company - public,transportation equipment manufacturing,manufacturing,$2 to $5 billion (usd),"The Role
As a member of the Autopilot AI team you will research, design, implement, optimize and deploy deep learning models that advance the state of the art in perception and control for autonomous driving. A typical day to day includes reading deep learning code/papers, implementing described models and algorithms, adapting them to our setting, driving up internal metrics, working with downstream engineers to integrate neural networks to run efficiently in the car on our chip, and incrementally tracking and improving feature performance based on fleet telemetry. A strong candidate will ideally possess at least one strong expertise in the following areas, and at least a familiarity in others.

Responsibilities
Train machine learning and deep learning models on a computing cluster to perform visual recognition tasks, such as segmentation and detection"
161,"Primary Talent Partners
3.9",Entry Level Scientist,"South San Francisco, CA",$48K - $106K (Glassdoor est.),Job Type : Full-time,1 to 50 employees,-1,company - private,-1,-1,unknown / non-applicable,"Primary Talent Partners has a 6 month contract opening for an entry level scientist to join a large pharmaceutical client of ours in South San Francisco, CA.
The Oncology Research, Development and Discovery team is looking for a Scientist I to join their team to assist in performing experiments in a laboratory with the goal of developing cancer therapeutic drugs for different modalities. This role will interact with a smaller team of about 10 people in addition to other teams such as chemistry and clinical development.
Responsibilities:
Routinely culture cells and perform cell-based assays, for example, drug treatment and measurement of cell growth and viability in multi-well plate settings.
Conduct flow cytometry to assess cell surface protein abundance."
162,3T Biosciences,Data Scientist,"South San Francisco, CA",$85K - $157K (Glassdoor est.),Job Type : Full-time,1 to 50 employees,-1,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"South San Francisco, CA
3T Biosciences will bring something that the field of immunotherapy sorely needs – targets that will help us bring therapies to cure cancer in broad populations. We are developing transformative T cell receptor therapies for cancer and other immune-related diseases. Our proprietary technology allows us to identify T cell receptor targets as well as potential off-targets to combat clinical toxicities.
Culture:
We’re committed to making a difference for patients. Our creative, dynamic, and out-of-the-box thinking makes 3T Biosciences the perfect engine to drive therapeutic solutions to reality. We’re looking for enthusiastic and bright-minded individuals to bring their talents to a cohesive and ambitious team."
163,REGID International,Data Scientist H/F,"San Francisco, CA",$79K - $166K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Description de l'entreprise
REGID International is a Geospatial Impact Development organization that provides technical expertise to support landscape restoration and climate mitigation activities of development iNGOs, governments and private sector.
REGID International has worked in the past couple of years with the Gates Foundation Intellectual Ventures Lab of Seattle to build a digital climate technology – a CNN model for global tree cover assessment on very high-resolution imagery; we have synergized with our biomass carbon algorithm to provide one of the most competitive mix of spatial and temporal resolutions for global biomass carbon accounting in Afforestation/Reforestation (A/R) programs.
Description du poste"
164,"Waymo
4.0","Data Scientist / Software Engineer, Planner","Mountain View, CA",$104K - $161K (Glassdoor est.),Job Type : Full-time,unknown,2009,company - private,computer hardware & software,information technology,unknown / non-applicable,"Waymo is an autonomous driving technology company with a mission to make it safe and easy for people and things to get where they’re going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the World’s Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our fully autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 20 billion miles of simulation testing.
Software Engineering builds the brains of Waymo's fully autonomous driving technology. Our software allows the Waymo Driver to perceive the world around it, make the right decision for every situation, and deliver people safely to their destinations. We think deeply and solve complex technical challenges in areas like robotics, perception, decision-making and deep learning, while collaborating with hardware and systems engineers. If you’re a software engineer or researcher who’s curious and passionate about Level 4 autonomous driving, we'd like to meet you."
